task_count,algorithm,task_id,vm_id,arrival_time,length,start_time,finish_time,execution_time,waiting_time
100,FCFS,T0014,VM01,0.0000,5557.0000,0.0000,1.7926,1.7926,0.0000
100,FCFS,T0086,VM02,0.0000,9689.0000,0.0000,3.1255,3.1255,0.0000
100,FCFS,T0001,VM03,3.0000,2824.0000,3.0000,3.4555,0.4555,0.0000
100,FCFS,T0006,VM04,4.0000,7912.0000,4.0000,5.2761,1.2761,0.0000
100,FCFS,T0023,VM05,5.0000,5333.0000,5.0000,5.4301,0.4301,0.0000
100,FCFS,T0030,VM06,5.0000,2139.0000,5.0000,5.1725,0.1725,0.0000
100,FCFS,T0090,VM07,7.0000,4923.0000,7.0000,7.1985,0.1985,0.0000
100,FCFS,T0093,VM08,8.0000,8962.0000,8.0000,8.3614,0.3614,0.0000
100,FCFS,T0032,VM09,10.0000,5741.0000,10.0000,10.1157,0.1157,0.0000
100,FCFS,T0092,VM10,10.0000,2290.0000,10.0000,10.0462,0.0462,0.0000
100,FCFS,T0005,VM01,11.0000,9935.0000,11.0000,14.2048,3.2048,0.0000
100,FCFS,T0007,VM02,11.0000,1488.0000,11.0000,11.4800,0.4800,0.0000
100,FCFS,T0033,VM03,12.0000,4814.0000,12.0000,12.7765,0.7765,0.0000
100,FCFS,T0019,VM06,13.0000,6514.0000,13.0000,13.5253,0.5253,0.0000
100,FCFS,T0062,VM04,14.0000,1771.0000,14.0000,14.2856,0.2856,0.0000
100,FCFS,T0074,VM05,14.0000,6573.0000,14.0000,14.5301,0.5301,0.0000
100,FCFS,T0088,VM07,14.0000,1319.0000,14.0000,14.0532,0.0532,0.0000
100,FCFS,T0095,VM08,16.0000,3060.0000,16.0000,16.1234,0.1234,0.0000
100,FCFS,T0003,VM10,17.0000,4657.0000,17.0000,17.0939,0.0939,0.0000
100,FCFS,T0054,VM09,17.0000,5339.0000,17.0000,17.1076,0.1076,0.0000
100,FCFS,T0059,VM02,17.0000,4593.0000,17.0000,18.4816,1.4816,0.0000
100,FCFS,T0053,VM03,18.0000,8517.0000,18.0000,19.3737,1.3737,0.0000
100,FCFS,T0017,VM06,19.0000,5552.0000,19.0000,19.4477,0.4477,0.0000
100,FCFS,T0083,VM07,19.0000,4258.0000,19.0000,19.1717,0.1717,0.0000
100,FCFS,T0036,VM01,20.0000,6977.0000,20.0000,22.2506,2.2506,0.0000
100,FCFS,T0042,VM04,20.0000,5010.0000,20.0000,20.8081,0.8081,0.0000
100,FCFS,T0050,VM05,27.0000,2084.0000,27.0000,27.1681,0.1681,0.0000
100,FCFS,T0051,VM08,27.0000,6155.0000,27.0000,27.2482,0.2482,0.0000
100,FCFS,T0099,VM10,27.0000,7932.0000,27.0000,27.1599,0.1599,0.0000
100,FCFS,T0008,VM09,29.0000,4582.0000,29.0000,29.0924,0.0924,0.0000
100,FCFS,T0047,VM02,29.0000,1916.0000,29.0000,29.6181,0.6181,0.0000
