task_count,algorithm,makespan,throughput,resource_utilization,average_waiting_time,vm_utilization
100,FCFS,99.1603,1.0085,0.0701,0.0000,VM01:0.1913; VM02:0.1728; VM03:0.0935; VM04:0.0876; VM05:0.0425; VM06:0.0452; VM07:0.0215; VM08:0.0251; VM09:0.0096; VM10:0.0115
100,SJF,100.2365,0.9976,0.0540,29.3281,VM01:0.0779; VM02:0.1321; VM03:0.0346; VM04:0.1271; VM05:0.0387; VM06:0.0614; VM07:0.0138; VM08:0.0194; VM09:0.0286; VM10:0.0069
100,EFT,98.3234,1.0171,0.0116,0.0084,VM01:0.0000; VM02:0.0000; VM03:0.0000; VM04:0.0000; VM05:0.0000; VM06:0.0000; VM07:0.0049; VM08:0.0012; VM09:0.0785; VM10:0.0311
200,FCFS,100.2155,1.9957,0.1274,0.0000,VM01:0.2817; VM02:0.3130; VM03:0.1842; VM04:0.1817; VM05:0.0824; VM06:0.0843; VM07:0.0425; VM08:0.0526; VM09:0.0260; VM10:0.0250
200,SJF,104.2471,1.9185,0.0770,39.2185,VM01:0.1263; VM02:0.0998; VM03:0.0728; VM04:0.1518; VM05:0.0640; VM06:0.0615; VM07:0.0528; VM08:0.0540; VM09:0.0413; VM10:0.0462
200,EFT,100.1078,1.9978,0.0244,0.0122,VM01:0.0000; VM02:0.0000; VM03:0.0000; VM04:0.0000; VM05:0.0000; VM06:0.0000; VM07:0.0265; VM08:0.0141; VM09:0.1154; VM10:0.0876
300,FCFS,100.2598,2.9922,0.1773,0.0000,VM01:0.3901; VM02:0.4013; VM03:0.2514; VM04:0.2174; VM05:0.1502; VM06:0.1313; VM07:0.0756; VM08:0.0739; VM09:0.0416; VM10:0.0400
300,SJF,106.7881,2.8093,0.0979,41.8734,VM01:0.1864; VM02:0.0667; VM03:0.0909; VM04:0.1422; VM05:0.0946; VM06:0.0989; VM07:0.1090; VM08:0.0475; VM09:0.0845; VM10:0.0582
300,EFT,100.1455,2.9956,0.0381,0.0202,VM01:0.0000; VM02:0.0000; VM03:0.0000; VM04:0.0000; VM05:0.0009; VM06:0.0000; VM07:0.0621; VM08:0.0284; VM09:0.1461; VM10:0.1436
400,FCFS,101.1377,3.9550,0.2363,0.0001,VM01:0.5155; VM02:0.5222; VM03:0.3486; VM04:0.3161; VM05:0.1712; VM06:0.1837; VM07:0.1003; VM08:0.0975; VM09:0.0567; VM10:0.0508
